SKU,Producto,#,Tarea,Duracion_dias,Depende_de,Tipo_dep,Inicio_plan,Fin_plan,Estatus,Inicio_real,Fin_real,Dur_real_dias,Desvio_dias
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-06-01,2026-07-20,49,86
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26795MUL,TRAVEL BOTTLES - SET OF 3 — MULTICOLOR (6TRAI26795MUL),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-10-01,,91
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-07-01,2026-07-20,19,86
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26796NEG,ID TAG — BLACK (6TRAI26796NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-11-01,,122
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-06-09,74,105
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-07-01,2026-07-20,19,86
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-10,2026-07-20,40,116
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26797VER,ID TAG — LIME (6TRAI26797VER),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-11-01,,122
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-06-09,74,105
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-07-01,2026-07-20,19,86
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-10,2026-07-20,40,116
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26798ROJ,ID TAG — RED (6TRAI26798ROJ),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-11-01,,122
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),1,Muestras finalizadas en China,30,,,2025-12-23,2026-01-22,Completada,2025-12-23,2026-02-06,45,15
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),2,Courier a Mexico,10,1,,2026-01-22,2026-02-01,Completada,2026-02-11,2026-03-10,27,37
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),3,DEADLINE aprobación Cloé (confirmación muestra final),5,2,FI,2026-02-01,2026-02-06,Completada,,2026-03-23,,45
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),4,Reunión con Comité y entrega de muestras,12,2,FI,2026-02-01,2026-02-13,Completada,2026-03-10,2026-03-23,13,38
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),5,Confirmación de muestras y packaging,4,4,FI,2026-02-13,2026-02-17,Completada,2026-03-23,2026-03-27,4,38
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),6,Master Cloé (modelo & upc),7,5,FI,2026-02-17,2026-02-24,Completada,2026-03-27,2026-05-22,56,87
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),7,Producción de producto,60,6,FI,2026-02-24,2026-04-25,En curso,2026-06-01,2026-07-20,49,86
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),8,Producción de packaging,30,6,FI,2026-02-24,2026-03-26,En curso,2026-06-08,2026-07-20,42,116
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),9,Muestras de producción a México (fotografía),45,7,II,2026-02-24,2026-04-10,Pendiente,,,,
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),10,Gestión proveedores Cloé,60,7,II,2026-02-24,2026-04-25,Completada,,,,
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),11,Inspección,7,,,2026-04-25,2026-05-02,Pendiente,2026-07-20,2026-07-27,7,86
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),12,Orden terminada + CUT OFF + tiempos puerto,15,11,FI,2026-05-02,2026-05-17,Pendiente,2026-07-27,2026-07-30,3,74
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),13,Tránsito marítimo,35,12,FI,2026-05-17,2026-06-21,Pendiente,2026-08-01,2026-09-01,31,72
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),14,Aduana México,10,13,FI,2026-06-21,2026-07-01,Pendiente,2026-09-01,2026-09-10,9,71
6TRAI26799NEG,TRAVEL NECESSAIR — BLACK (6TRAI26799NEG),15,Lanzamiento,1,14,FI,2026-07-01,2026-07-02,Pendiente,,2026-11-01,,122
